graph_id,graph_type,graph_seed,num_nodes,num_edges,edge_density,avg_degree,degree_std,max_degree,clustering,optimal_cut,qaoa_depth_p,optimizer,runtime_seconds,num_function_evaluations,theta_0,theta_1,expected_cut,exact_expected_ratio,best_cut,best_ratio,best_bitstring,optimal_solution_probability,empirical_expected_ratio_sampled,sampled_best_ratio,shots,topology,transpiled_depth,transpiled_cx,transpiled_1q_ops,transpiled_total_ops,cx_per_edge,cx_per_layer,cx_per_edge_per_layer,theta_2,theta_3,theta_4,theta_5
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,1,SPSA,0.37576889991760254,181,0.8133968031024366,0.810640303219134,7.0254012501406535,0.6386728409218776,11.0,1.0,01011100,0.018665132605037927,0.6370294744318182,1.0,2048,all_to_all,32,28,75,103,2.0,28.0,2.0,,,,
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,1,SPSA,0.37576889991760254,181,0.8133968031024366,0.810640303219134,7.0254012501406535,0.6386728409218776,11.0,1.0,01011100,0.018665132605037927,0.6370294744318182,1.0,2048,linear,62,50,115,165,3.5714285714285716,50.0,3.5714285714285716,,,,
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,1,SPSA,0.37576889991760254,181,0.8133968031024366,0.810640303219134,7.0254012501406535,0.6386728409218776,11.0,1.0,01011100,0.018665132605037927,0.6370294744318182,1.0,2048,ring,66,56,125,181,4.0,56.0,4.0,,,,
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,1,SPSA,0.37576889991760254,181,0.8133968031024366,0.810640303219134,7.0254012501406535,0.6386728409218776,11.0,1.0,01011100,0.018665132605037927,0.6370294744318182,1.0,2048,grid,50,37,85,122,2.642857142857143,37.0,2.642857142857143,,,,
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,1,SPSA,0.37576889991760254,181,0.8133968031024366,0.810640303219134,7.0254012501406535,0.6386728409218776,11.0,1.0,01011100,0.018665132605037927,0.6370294744318182,1.0,2048,heavy_hex_like,53,41,84,125,2.9285714285714284,41.0,2.9285714285714284,,,,
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,2,COBYLA,0.23569178581237793,70,1.064404110771199,1.4303468317177122,9.150378877085004,0.8318526251895458,11.0,1.0,01011100,0.19078856012696166,0.8358043323863636,1.0,2048,all_to_all,55,56,126,182,4.0,28.0,2.0,1.7949354759060452,0.4103536179226559,,
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,2,COBYLA,0.23569178581237793,70,1.064404110771199,1.4303468317177122,9.150378877085004,0.8318526251895458,11.0,1.0,01011100,0.19078856012696166,0.8358043323863636,1.0,2048,linear,129,121,175,296,8.642857142857142,60.5,4.321428571428571,1.7949354759060452,0.4103536179226559,,
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,2,COBYLA,0.23569178581237793,70,1.064404110771199,1.4303468317177122,9.150378877085004,0.8318526251895458,11.0,1.0,01011100,0.19078856012696166,0.8358043323863636,1.0,2048,ring,119,121,190,311,8.642857142857142,60.5,4.321428571428571,1.7949354759060452,0.4103536179226559,,
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,2,COBYLA,0.23569178581237793,70,1.064404110771199,1.4303468317177122,9.150378877085004,0.8318526251895458,11.0,1.0,01011100,0.19078856012696166,0.8358043323863636,1.0,2048,grid,93,84,147,231,6.0,42.0,3.0,1.7949354759060452,0.4103536179226559,,
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,2,COBYLA,0.23569178581237793,70,1.064404110771199,1.4303468317177122,9.150378877085004,0.8318526251895458,11.0,1.0,01011100,0.19078856012696166,0.8358043323863636,1.0,2048,heavy_hex_like,91,87,155,242,6.214285714285714,43.5,3.107142857142857,1.7949354759060452,0.4103536179226559,,
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,2,SPSA,0.518502950668335,181,0.22007313658723185,1.161614988686492,9.158427833423692,0.832584348493063,11.0,1.0,01011100,0.16375524967569308,0.8278142755681818,1.0,2048,all_to_all,55,56,126,182,4.0,28.0,2.0,1.9172411911018583,1.3620138915874411,,
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,2,SPSA,0.518502950668335,181,0.22007313658723185,1.161614988686492,9.158427833423692,0.832584348493063,11.0,1.0,01011100,0.16375524967569308,0.8278142755681818,1.0,2048,linear,128,121,180,301,8.642857142857142,60.5,4.321428571428571,1.9172411911018583,1.3620138915874411,,
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,2,SPSA,0.518502950668335,181,0.22007313658723185,1.161614988686492,9.158427833423692,0.832584348493063,11.0,1.0,01011100,0.16375524967569308,0.8278142755681818,1.0,2048,ring,116,121,185,306,8.642857142857142,60.5,4.321428571428571,1.9172411911018583,1.3620138915874411,,
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,2,SPSA,0.518502950668335,181,0.22007313658723185,1.161614988686492,9.158427833423692,0.832584348493063,11.0,1.0,01011100,0.16375524967569308,0.8278142755681818,1.0,2048,grid,99,79,144,223,5.642857142857143,39.5,2.8214285714285716,1.9172411911018583,1.3620138915874411,,
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,2,SPSA,0.518502950668335,181,0.22007313658723185,1.161614988686492,9.158427833423692,0.832584348493063,11.0,1.0,01011100,0.16375524967569308,0.8278142755681818,1.0,2048,heavy_hex_like,90,87,153,240,6.214285714285714,43.5,3.107142857142857,1.9172411911018583,1.3620138915874411,,
erdos_renyi_n8_s168,erdos_renyi,168,8,14,0.5,3.5,1.0,4,0.3333333333333333,11,3,COBYLA,0.21942782402038574,53,1.8001042259742681,1.232726693756783,8.233609860229716,0.7485099872936106,11.0,1.0,01011100,0.05999674076047663,0.7478249289772727,1.0,2048,all_to_all,70,84,119,203,6.0,28.0,2.0,0.6005774245473613,1.5707963267948966,2.31301330870698,1.5707963267948966
